P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
Hot,Superterran,water-gas,metals-rich,non-habitable,4.8,2.53,0.3,0.75,1.38,18.3515,18.3515,18.35151,527.3,527.3,527.3,562.8,562.8,562.8,1.4,-22.37,4.81,11.78,0.09,0,0.09,0,0.71,0.65,4450,0.148647,-0.003,,13.7,,19.6081,48.3494,-29.9,3.8496,3,0,0.309,0.765,-1.96,1.71,-0.57,0.27,0.3,0,0
Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.14,1.09,0.89,0.97,1.03,1295.298,1295.299,1295.299,1528.4,1528.4,1528.4,1562.5,1562.5,1562.5,1,-25.17,2.06,2.4,0.036,0,0.04,0,1,1.21,5979,1.678707,-0.081,,,,19.8475,45.2619,-34.5,17.9857,2,0,0.961,2.252,-2.43,-0.17,-1.22,0.27,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,18.31,2.3,1.51,3.47,2.82,199.5028,199.5029,199.5029,957.5,957.5,957.5,1005.7,1005.7,1005.7,27.7,-24.76,4.36,13.07,0.116,0,0.12,0,1.16,1.45,6142,2.68451,-0.064,,,,19.6495,43.5368,-32.5,6.6652,2,0,1.203,2.809,-2.35,-0.12,0.03,0.3,0.25,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.51,1.96,1.26,2.47,2.2,154.7596,154.7596,154.7596,898.6,898.6,898.6,943.2,943.2,943.2,12,-24.14,3.73,7.52,0.073,0,0.07,0,0.86,1.09,5274,0.824714,0.18,,,,19.9475,41.4248,-32.2,7.9636,2,0,0.701,1.679,-2.29,-0.14,-0.31,0.3,0.27,0,0
Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.66,0.92,0.85,0.78,0.85,258.3786,258.3786,258.3787,1021.4,1021.4,1021.4,1052.9,1052.9,1052.9,0.6,-23.05,1.75,4.13,0.049,0,0.05,0,0.92,0.84,5595,0.620367,-0.083,,,,19.7298,42.6589,-32.8,9.1454,2,0,0.598,1.415,-2.34,-0.18,-1.22,0.27,0.3,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,13.85,2.15,1.39,2.99,2.54,23.4507,23.45071,23.45071,560.6,560.6,560.6,607.3,607.3,607.3,19.3,-22.29,4.09,6.31,0.055,0,0.06,0,0.56,0.53,4096,0.070938,-0.449,,,,19.1928,39.3391,-30.2,5.1371,2,0,0.216,0.543,-1.98,-0.13,0.34,0.33,0.3,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.69,1.52,1.04,1.59,1.56,9.160431,9.160433,9.160435,443.2,443.2,443.2,483,483,483,3.8,-20.51,2.89,12.79,0.088,0,0.09,0,0.56,0.53,4096,0.070938,-0.449,,,,19.1928,39.3391,-29.1,3.21,2,0,0.216,0.543,-1.78,-0.15,-0.3,0.36,0.41,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,19.94,2.34,1.55,3.64,2.92,229.9651,229.9651,229.9651,992.1,992.1,992.1,1040.8,1040.8,1040.8,31,-24.96,4.45,3.18,0.039,0,0.04,0,0.78,0.7,5311,0.349777,-0.38,,,,19.0775,39.678,-32.7,9.5763,2,0,0.456,1.09,-2.32,-0.12,0.06,0.3,0.24,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,17.55,2.27,1.49,3.39,2.78,7.496932,7.496932,7.496933,421.6,421.6,421.6,469.5,469.5,469.5,26.2,-21.16,4.32,41.01,0.216,0,0.22,0,0.8,0.7,5311,0.349777,-0.38,,,,19.0775,39.678,-28.9,1.7271,2,0,0.456,1.09,-1.76,-0.12,0.89,0.34,0.39,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,19.94,2.34,1.55,3.64,2.92,436.7884,436.7884,436.7885,1164.7,1164.7,1164.7,1213.4,1213.4,1213.4,31,-25.66,4.45,5.77,0.064,0,0.06,0,0.99,1.22,6050,1.789085,-0.202,,,,19.4075,39.9491,-33.4,10.1721,4,0,0.987,2.311,-2.4,-0.12,-0.08,0.29,0.24,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,15.1,2.2,1.43,3.13,2.62,74.46765,74.46765,74.46767,748.4,748.4,748.4,795.5,795.5,795.5,21.6,-23.59,4.17,21.59,0.155,0,0.15,0,0.99,1.22,6050,1.789085,-0.202,,,,19.4075,39.9491,-31.4,4.1955,4,0,0.987,2.311,-2.26,-0.13,0.12,0.31,0.26,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.31,1.48,1.02,1.52,1.5,59.76649,59.7665,59.7665,708.4,708.4,708.4,747.6,747.6,747.6,3.4,-22.49,2.81,26.7,0.181,0,0.18,0,1.03,1.26,6089,1.95801,-0.199,,,,19.7999,42.782,-31.2,3.7105,2,0,1.03,2.41,-2.23,-0.16,-0.64,0.3,0.3,0,0
Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.31,0.73,0.8,0.58,0.65,149.0846,149.0846,149.0846,890.2,890.2,890.2,918.3,918.3,918.3,0.2,-21.94,1.38,3.41,0.039,0,0.04,0,0.68,0.64,4984,0.226758,-0.535,,,,19.1169,49.0649,-32.2,8.7538,3,0,0.373,0.903,-2.26,-0.18,-1.31,0.28,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.1,1.75,1.14,2,1.87,22.67576,22.67576,22.67577,555.9,555.9,555.9,598.3,598.3,598.3,7,-21.8,3.32,13.82,0.1,0,0.1,0,0.7,0.64,4984,0.226758,-0.535,,,,19.1169,49.0649,-30.1,3.4112,3,0,0.373,0.903,-2.03,-0.14,-0.2,0.33,0.32,0,0
Hot,Terran,rocky-iron,metals-rich,non-habitable,1.23,1.11,0.9,1,1.05,7.846285,7.846285,7.846286,426.4,426.4,426.4,460.8,460.8,460.8,1.1,-19.65,2.11,30.95,0.17,0,0.17,0,0.68,0.64,4984,0.226758,-0.535,,,,19.1169,49.0649,-29,2.0064,3,0,0.373,0.903,-1.77,-0.17,-0.75,0.34,0.45,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,20.8,2.36,1.58,3.72,2.97,29.25246,29.25246,29.25246,592.5,592.5,592.5,641.4,641.4,641.4,32.8,-22.73,4.49,4.16,0.041,0,0.04,0,0.55,0.51,3810,0.049173,0.126,,,,19.8839,47.6049,-30.4,6.6327,2,0,0.181,0.461,-1.99,-0.12,0.63,0.32,0.28,0,0
Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.32,0.74,0.8,0.59,0.66,18.90557,18.90557,18.90557,531.2,531.2,531.2,559.5,559.5,559.5,0.3,-19.72,1.4,5.77,0.051,0,0.05,0,0.55,0.51,3810,0.049173,0.126,,,,19.8839,47.6049,-29.9,5.3311,2,0,0.181,0.461,-1.92,-0.18,-1.17,0.31,0.36,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.69,1.52,1.04,1.59,1.56,256.5412,256.5412,256.5413,1019.6,1019.6,1019.6,1059.4,1059.4,1059.4,3.8,-24.14,2.89,10.5,0.099,0,0.1,0,1.18,1.36,6239,2.51436,,,,,19.2898,44.2086,-32.8,7.3259,3,0,1.157,2.698,-2.37,-0.15,-0.79,0.29,0.28,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.2,1.58,1.07,1.68,1.63,95.80704,95.80706,95.80708,797.1,797.1,797.1,837.5,837.5,837.5,4.5,-23.15,3,21.87,0.162,0,0.16,0,1.19,1.36,6239,2.51436,,,,,19.2898,44.2086,-31.7,4.475,3,0,1.157,2.698,-2.29,-0.15,-0.61,0.3,0.29,0,0
Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,26.81,2.5,1.72,4.3,3.28,12.5277,12.52771,12.52771,479.3,479.3,479.3,529.7,529.7,529.7,46.1,-21.93,4.75,100.28,0.448,0,0.45,0,1.19,1.36,6239,2.51436,,,,,19.2898,44.2086,-29.5,1.6178,3,0,1.157,2.698,-1.92,-0.11,1.16,0.31,0.33,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.73,1.4,0.99,1.39,1.4,147.6301,147.6301,147.6301,888.1,888.1,888.1,926.3,926.3,926.3,2.7,-23.36,2.66,14.44,0.125,0,0.12,0,1.25,1.36,6106,2.30672,-0.154,,,,19.0127,46.028,-32.2,5.8006,3,0,1.117,2.612,-2.33,-0.16,-0.82,0.29,0.29,0,0
Hot,Neptunian,iron,hydrogen-rich,non-habitable,29.92,1.13,20.67,23.38,5.14,177.769,177.769,177.769,930.3,930.3,930.3,991.8,991.8,991.8,618.4,-23.09,2.15,15.09,0.1259,0,0.13,0,1.17,1.55,6013,2.817851,-0.048,,11.4,,18.8328,43.9803,-32.4,6.5644,2,0,1.242,2.909,-2.34,-2.01,1.53,0.23,0.3,0,0
Hot,Neptunian,iron,hydrogen-rich,non-habitable,33.07,1.13,22.84,25.84,5.41,102.5086,102.5086,102.5086,810.7,810.7,810.7,873,873,873,755.3,-22.49,2.15,22.8,0.1658,0,0.17,0,1.17,1.55,6013,2.817851,-0.048,,11.4,,18.8328,43.9803,-31.8,4.9837,2,0,1.242,2.909,-2.29,-2.04,1.94,0.22,0.31,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,20.8,2.36,1.58,3.72,2.97,155.8613,155.8613,155.8613,900.2,900.2,900.2,949.1,949.1,949.1,32.8,-24.56,4.49,15.79,0.131,0,0.13,0,1.18,1.64,5770,2.674735,,,,,19.0208,47.8486,-32.2,6.6754,2,0,1.228,2.894,-2.32,-0.12,0.18,0.3,0.25,0,0
Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.92,1.02,0.87,0.89,0.95,220.0306,220.0307,220.0307,981.2,981.2,981.2,1014.3,1014.3,1014.3,0.8,-23.1,1.94,8.46,0.079,0,0.08,0,1,1.13,5884,1.373212,0.02,,,,19.23,40.2453,-32.6,7.6284,2,0,0.874,2.053,-2.35,-0.17,-1.14,0.28,0.3,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.77,1.64,1.09,1.78,1.71,9.661726,9.661727,9.661729,449.2,449.2,449.2,490.2,490.2,490.2,5.2,-20.72,3.11,87.52,0.377,0,0.38,0,1,1.13,5884,1.373212,0.02,,,,19.23,40.2453,-29.2,1.5974,2,0,0.874,2.053,-1.84,-0.15,-0.17,0.35,0.4,0,0
Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.65,1.21,0.93,1.12,1.17,361.3912,361.3912,361.3913,1110.8,1110.8,1110.8,1146.6,1146.6,1146.6,1.5,-24.01,2.3,6.18,0.067,0,0.07,0,1.05,1.18,6003,1.622285,-0.053,,,,18.8824,41.343,-33.2,9.3962,3,0,0.943,2.209,-2.38,-0.17,-1.05,0.28,0.29,0,0
Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.98,1.28,0.95,1.21,1.25,350.8402,350.8402,350.8403,1102.6,1102.6,1102.6,1139.3,1139.3,1139.3,1.9,-24.1,2.43,6.41,0.068,0,0.07,0,1.02,1.18,6003,1.622285,-0.053,,,,18.8824,41.343,-33.1,9.2577,3,0,0.943,2.209,-2.38,-0.16,-1,0.28,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.88,1.55,1.05,1.63,1.59,87.71005,87.71006,87.71007,779.7,779.7,779.7,819.7,819.7,819.7,4.1,-23,2.94,18.01,0.136,0,0.14,0,1.04,1.18,6003,1.622285,-0.053,,,,18.8824,41.343,-31.6,4.6251,3,0,0.943,2.209,-2.27,-0.15,-0.63,0.3,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.25,1.76,1.15,2.02,1.89,288.2984,288.2984,288.2985,1049.8,1049.8,1049.8,1092.2,1092.2,1092.2,7.2,-24.58,3.34,8.13,0.083,0,0.08,0,1.15,1.43,5736,1.986088,-0.16,,,,19.8185,48.3203,-32.9,9.1914,2,0,1.06,2.501,-2.36,-0.14,-0.6,0.29,0.27,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.17,1.99,1.28,2.56,2.26,444.6593,444.6593,444.6594,1169.9,1169.9,1169.9,1214.9,1214.9,1214.9,13.1,-25.33,3.79,5.32,0.06,0,0.06,0,1.02,1.18,5983,1.600774,,,,,18.9826,49.5984,-33.4,10.4953,2,0,0.938,2.198,-2.39,-0.13,-0.45,0.29,0.26,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.86,1.25,0.94,1.18,1.22,189.1273,189.1273,189.1273,944.8,944.8,944.8,981.2,981.2,981.2,1.8,-23.39,2.38,10.11,0.092,0,0.09,0,1.02,1.18,5983,1.600774,,,,,18.9826,49.5984,-32.4,6.8393,2,0,0.938,2.198,-2.34,-0.16,-0.96,0.28,0.3,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.88,1.8,1.17,2.12,1.95,443.4215,443.4215,443.4216,1169.1,1169.1,1169.1,1212,1212,1212,8.1,-25.11,3.43,6,0.067,0,0.07,0,1.11,1.27,6090,1.990519,0.045,,,,19.3663,38.7955,-33.4,10.1147,2,0,1.039,2.429,-2.4,-0.14,-0.63,0.29,0.27,0,0
Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.4,1.15,0.91,1.05,1.1,187.6255,187.6255,187.6256,942.9,942.9,942.9,978,978,978,1.3,-23.2,2.19,11.45,0.103,0,0.1,0,1.11,1.27,6090,1.990519,0.045,,,,19.3663,38.7955,-32.4,6.5745,2,0,1.039,2.429,-2.35,-0.17,-1.04,0.28,0.3,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,11.37,2.05,1.32,2.71,2.36,210.2219,210.2219,210.222,970.1,970.1,970.1,1015.7,1015.7,1015.7,15,-24.57,3.9,11.58,0.106,0,0.11,0,1.2,1.35,6165,2.362054,,,,,19.7645,42.5988,-32.6,6.7911,2,0,1.127,2.63,-2.36,-0.13,-0.27,0.3,0.26,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.17,1.99,1.28,2.56,2.26,133.5323,133.5323,133.5324,866,866,866,911,911,911,13.1,-24.02,3.79,16.4,0.133,0,0.13,0,1.2,1.35,6165,2.362054,,,,,19.7645,42.5988,-32.1,5.4113,2,0,1.127,2.63,-2.32,-0.13,-0.25,0.3,0.26,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.22,1.47,1.02,1.5,1.48,70.10569,70.10571,70.10571,737.2,737.2,737.2,776.3,776.3,776.3,3.3,-22.65,2.79,8.44,0.077,0,0.08,0,0.86,0.8,5187,0.415657,-0.12,,,,18.809,43.0391,-31.4,5.5389,2,0,0.5,1.201,-2.21,-0.16,-0.67,0.3,0.3,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.1,1.88,1.22,2.29,2.08,24.59507,24.59507,24.59507,567.4,567.4,567.4,611.1,611.1,611.1,9.9,-22.05,3.58,18.74,0.13,0,0.13,0,0.84,0.8,5187,0.415657,-0.12,,,,18.809,43.0391,-30.2,3.2799,2,0,0.5,1.201,-2.06,-0.14,-0.05,0.33,0.31,0,0
Hot,Terran,water-gas,metals-rich,non-habitable,1.01,1.61,0.24,0.39,0.79,6.127389,6.763582,7.4849,400.8,410.7,421.4,428.8,438.6,449.4,0.2,-20.3,3.07,13.78,0.0933,0.05,0.09,72,0.57,0.54,3871,0.058745,,,13.5,,19.3589,43.2931,-28.8,3.0902,2,0,0.197,0.502,-1.68,1.66,-0.97,0.28,0.45,0,0
Hot,Terran,water-gas,metals-rich,non-habitable,1.01,1.61,0.24,0.39,0.79,3.252741,3.411648,3.580466,342.1,346.2,350.5,370.1,374.2,378.4,0.2,-19.55,3.06,23.01,0.1312,0.02,0.13,170,0.57,0.54,3871,0.058745,,,13.5,,19.3589,43.2931,-28.1,2.1935,2,0,0.197,0.502,-1.43,1.65,-0.91,0.3,0.58,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.54,1.61,1.08,1.74,1.68,1005.544,1005.544,1005.545,1434.6,1434.6,1434.6,1475.5,1475.5,1475.5,4.9,-25.76,3.07,3.25,0.045,0,0.04,0,1.15,1.29,6077,2.036227,-0.094,,,,19.158,46.7682,-34.3,15.3225,2,0,1.052,2.46,-2.43,-0.15,-0.87,0.28,0.28,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.88,1.8,1.17,2.12,1.95,11.88025,11.88025,11.88025,473,473,473,515.9,515.9,515.9,8.1,-21.16,3.43,91.35,0.414,0,0.41,0,1.14,1.29,6077,2.036227,-0.094,,,,19.158,46.7682,-29.4,1.6606,2,0,1.052,2.46,-1.91,-0.14,0.01,0.34,0.37,0,0
Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.27,0.69,0.79,0.55,0.62,213.964,213.964,213.9641,974.4,974.4,974.4,1001.7,1001.7,1001.7,0.2,-22.23,1.32,3.11,0.039,0,0.04,0,1,0.79,4910,0.325439,0.538,,,,19.8647,47.7317,-32.6,10.811,2,0,0.449,1.089,-2.28,-0.18,-1.35,0.27,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.81,1.41,1,1.41,1.41,72.49706,72.49706,72.49708,743.4,743.4,743.4,781.8,781.8,781.8,2.8,-22.6,2.68,7.01,0.067,0,0.07,0,1,0.79,4910,0.325439,0.538,,,,19.8647,47.7317,-31.4,6.2868,2,0,0.449,1.089,-2.19,-0.16,-0.73,0.3,0.3,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.17,1.99,1.28,2.56,2.26,1588.223,1588.223,1588.224,1608.3,1608.3,1608.3,1653.3,1653.3,1653.3,13.1,-26.72,3.79,2.02,0.032,0,0.03,0,0.99,1.27,5790,1.626341,-0.274,,,,19.6746,48.4813,-34.8,21.2721,3,0,0.956,2.252,-2.43,-0.13,-0.64,0.28,0.26,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,14.15,2.16,1.4,3.03,2.56,27.77031,27.77032,27.77032,584.8,584.8,584.8,631.6,631.6,631.6,19.8,-22.48,4.11,41.81,0.242,0,0.24,0,0.99,1.27,5790,1.626341,-0.274,,,,19.6746,48.4813,-30.4,2.797,3,0,0.956,2.252,-2.1,-0.13,0.32,0.32,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,22.64,2.41,1.62,3.9,3.07,120.3344,120.3344,120.3344,843.8,843.8,843.8,893.2,893.2,893.2,36.7,-24.32,4.58,16.01,0.127,0,0.13,0,1.07,1.36,5848,1.940873,-0.167,,,,19.8712,49.4126,-32,5.7092,2,0,1.041,2.448,-2.3,-0.12,0.31,0.3,0.25,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.3,1.33,0.97,1.29,1.31,431.3505,431.3506,431.3507,1161.1,1161.1,1161.1,1198.5,1198.5,1198.5,2.2,-24.42,2.53,5.89,0.066,0,0.07,0,1.03,1.24,6075,1.878963,-0.326,,,,18.7944,42.7755,-33.3,10.0251,2,0,1.01,2.363,-2.4,-0.16,-0.98,0.28,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.37,1.34,0.97,1.31,1.33,212.6486,212.6486,212.6487,972.9,972.9,972.9,1010.5,1010.5,1010.5,2.3,-23.67,2.55,10.1,0.094,0,0.09,0,1.03,1.24,6075,1.878963,-0.326,,,,18.7944,42.7755,-32.6,7.0344,2,0,1.01,2.363,-2.35,-0.16,-0.91,0.28,0.29,0,0
Hot,Neptunian,rocky-iron,metals-rich,non-habitable,34.34,2.65,1.84,4.87,3.6,179.2306,179.2306,179.2306,932.2,932.2,932.2,983.9,983.9,983.9,63,-24.96,5.05,22.95,0.1707,0,0.17,0,1.26,1.98,6207,5.220922,-0.674,,11.9,,19.4258,44.5292,-32.4,6.1854,2,0,1.671,3.897,-2.35,-0.07,0.55,0.29,0.23,0,0
Hot,Jovian,water-gas,hydrogen-rich,non-habitable,74.4,4.42,0.86,3.8,4.1,77.88387,77.88389,77.8839,756.8,756.8,756.8,808.6,808.6,808.6,63.9,-25.17,8.41,42.88,0.2589,0,0.26,0,1.26,1.98,6207,5.220922,-0.674,,11.9,,19.4258,44.5292,-31.5,4.0763,2,0,1.671,3.897,-2.27,1.5,1.15,0.25,0.18,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.69,1.52,1.04,1.59,1.56,198.3552,198.3552,198.3552,956.1,956.1,956.1,995.9,995.9,995.9,3.8,-23.86,2.89,12.61,0.113,0,0.11,0,1.01,1.47,6012,2.532798,0.078,,,,19.1984,39.0872,-32.5,6.9369,2,0,1.178,2.758,-2.35,-0.15,-0.76,0.29,0.28,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,23.62,2.43,1.65,4,3.12,54.28664,54.28664,54.28665,691.5,691.5,691.5,741.2,741.2,741.2,38.9,-23.47,4.62,33.42,0.216,0,0.22,0,1.01,1.47,6012,2.532798,0.078,,,,19.1984,39.0872,-31.1,3.6274,2,0,1.178,2.758,-2.22,-0.11,0.56,0.3,0.26,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.88,1.8,1.17,2.12,1.95,638.7241,638.7241,638.7242,1280.8,1280.8,1280.8,1323.7,1323.7,1323.7,8.1,-25.51,3.43,1.73,0.028,0,0.03,0,0.98,0.85,5272,0.50076,0.143,,,,19.3191,46.8588,-33.8,16.232,2,0,0.547,1.308,-2.36,-0.14,-0.67,0.29,0.27,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.54,1.61,1.08,1.74,1.68,8.597583,8.597584,8.597586,436.3,436.3,436.3,477.1,477.1,477.1,4.9,-20.56,3.07,55.33,0.281,0,0.28,0,0.97,0.95,5381,0.678874,0.147,,,,19.0569,38.3841,-29.1,1.8017,3,0,0.633,1.509,-1.8,-0.15,-0.18,0.35,0.42,0,0
Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.86,1.25,0.94,1.18,1.22,391.3265,391.3266,391.3267,1133.1,1133.1,1133.1,1169.5,1169.5,1169.5,1.8,-24.18,2.38,3.43,0.044,0,0.04,0,0.97,0.94,5560,0.757608,-0.136,,,,19.2156,40.5209,-33.2,11.4038,4,0,0.662,1.569,-2.36,-0.16,-1.03,0.28,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,12.15,2.08,1.34,2.8,2.41,21.45737,21.45738,21.45738,548.3,548.3,548.3,594.3,594.3,594.3,16.3,-22.12,3.96,24.67,0.16,0,0.16,0,0.83,0.83,5460,0.549309,-0.102,,,,19.4775,41.0232,-30.1,2.7648,2,0,0.567,1.348,-2.04,-0.13,0.26,0.33,0.31,0,0
Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,21.7,2.39,1.6,3.81,3.02,2.459479,2.45948,2.45948,319,319,319,368.2,368.2,368.2,34.7,-20.05,4.53,88.26,0.356,0,0.36,0,0.77,0.72,5088,0.311705,-0.138,,,,19.1244,41.9891,-27.7,1.0778,2,0,0.435,1.049,-1.26,-0.12,1.53,0.33,0.58,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,17.18,2.26,1.48,3.36,2.76,23.9888,23.9888,23.98881,563.8,563.8,563.8,611.7,611.7,611.7,25.5,-22.42,4.3,33.04,0.198,0,0.2,0,0.89,1,5690,0.940457,-0.391,,,,19.3187,49.8965,-30.2,2.6917,2,0,0.732,1.728,-2.07,-0.12,0.51,0.32,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,12.15,2.08,1.34,2.8,2.41,45.4185,45.41851,45.41851,661.4,661.4,661.4,707.3,707.3,707.3,16.3,-22.94,3.96,5.93,0.056,0,0.06,0,0.58,0.62,4508,0.142432,-0.363,,,,19.2331,51.0819,-30.9,5.9028,2,0,0.302,0.745,-2.11,-0.13,0.09,0.32,0.28,0,0
Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,16.46,2.24,1.46,3.28,2.71,2.432081,2.432082,2.432082,318.2,318.2,318.2,365.8,365.8,365.8,24.1,-19.9,4.26,52.66,0.242,0,0.24,0,0.58,0.62,4508,0.142432,-0.363,,,,19.2331,51.0819,-27.7,1.3654,2,0,0.302,0.745,-1.27,-0.12,1.21,0.36,0.6,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,18.31,2.3,1.51,3.47,2.82,135.9277,135.9277,135.9277,869.9,869.9,869.9,918.1,918.1,918.1,27.7,-24.35,4.36,4.97,0.054,0,0.05,0,0.85,0.81,5094,0.396365,-0.014,,,,19.3531,37.7495,-32.1,8.0002,2,0,0.491,1.182,-2.26,-0.12,0.12,0.31,0.25,0,0
Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,2.23,1.32,0.97,1.28,1.3,1375.775,1375.775,1375.776,1551.6,1551.6,1551.6,1588.9,1588.9,1588.9,2.2,-25.67,2.51,1.73,0.028,0,0.03,0,0.98,1.04,5774,1.078608,-0.108,,,,19.4065,38.8756,-34.6,19.8938,2,0,0.78,1.837,-2.42,-0.16,-1.09,0.27,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,16.46,2.24,1.46,3.28,2.71,89.14114,89.14114,89.14116,782.8,782.8,782.8,830.4,830.4,830.4,24.1,-23.83,4.26,13.54,0.11,0,0.11,0,0.97,1.04,5774,1.078608,-0.108,,,,19.4065,38.8756,-31.6,5.0401,2,0,0.78,1.837,-2.27,-0.12,0.14,0.31,0.26,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,12.97,2.12,1.37,2.9,2.48,12.78565,12.78565,12.78565,481.8,481.8,481.8,528.1,528.1,528.1,17.7,-21.59,4.02,16.71,0.111,0,0.11,0,0.65,0.62,4623,0.157532,-0.232,,,,18.9355,39.7813,-29.5,2.977,2,0,0.316,0.776,-1.89,-0.13,0.45,0.34,0.34,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.48,1.9,1.23,2.34,2.11,6.310366,6.310367,6.310368,403.8,403.8,403.8,447.8,447.8,447.8,10.4,-20.59,3.62,28.55,0.158,0,0.16,0,0.65,0.62,4623,0.157532,-0.232,,,,18.9355,39.7813,-28.7,2.0913,2,0,0.316,0.776,-1.69,-0.14,0.3,0.37,0.44,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,21.25,2.37,1.59,3.77,2.99,26.59481,26.59481,26.59482,578.6,578.6,578.6,627.6,627.6,627.6,33.7,-22.64,4.51,10.14,0.082,0,0.08,0,0.72,0.66,4625,0.178824,-0.911,,,,19.8047,40.8688,-30.3,4.2903,2,0,0.337,0.827,-2.04,-0.12,0.67,0.32,0.28,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.78,1.53,1.05,1.61,1.57,327.0515,327.0515,327.0515,1083.4,1083.4,1083.4,1123.3,1123.3,1123.3,4,-24.42,2.92,4.31,0.05,0,0.05,0,0.9,0.88,5857,0.817629,-0.361,,,,19.1849,42.8693,-33,9.3898,2,0,0.675,1.588,-2.37,-0.15,-0.81,0.28,0.28,0,0
