P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
Cold,Superterran,rocky-iron,hydrogen-rich,non-habitable,4.6,1.62,1.08,1.75,1.69,0.03897282,0.04560067,0.05370333,113.2,117.6,122.6,154.1,158.5,163.5,5,-14.86,3.08,256.2,0.549,0.08,0.55,51.6,0.33,0.35,3350,0.0137,-0.55,2,10.2,7.23,17.3158,-34.9897,-23.4,0.3391,6,3,0.096,0.251,4.84,-0.15,1.27,0.17,0.33,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.45,1.6,1.08,1.73,1.67,44.5161,59.53845,81.47377,658.1,704.7,765.4,698.8,745.4,806.1,4.8,-22.68,3.05,3.6,0.0413,0.15,0.04,315,0.6,0.71,3860,0.100405,0.23,,9.6,16.45,17.5031,-51.6369,-31.2,9.2765,4,0,0.258,0.657,-2.09,-0.15,-0.52,0.32,0.29,0,0
Warm,Superterran,rocky-iron,metals-rich,mesoplanet,5.4,1.69,1.12,1.89,1.79,0.7038802,0.9962043,1.457365,233.4,253,279.9,275,294.7,321.6,6,-18.33,3.21,35.68,0.163,0.18,0.16,10,0.45,0.45,3472,0.026036,-0.3,,8.7,4.95,21.6444,-49.009,-26.7,1.4853,2,1,0.132,0.343,-0.72,-0.15,0.43,0.54,0.81,1,1
Hot,Superterran,water-gas,metals-rich,non-habitable,6.46,2.67,0.34,0.91,1.56,10.93212,18.30866,33.08059,463.3,519.6,611,500.6,557,648.4,2.2,-22.53,5.07,1.58,0.0141,0.27,0.01,0,0.15,0.22,3026,0.00351,0.39,6,14.7,13,17.2553,4.9639,-29.9,8.4804,1,0,0.049,0.129,-1.87,1.58,-0.43,0.29,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.99,1.81,1.18,2.13,1.97,20.8285,24.37066,28.70102,544.3,565.4,589.7,587.3,608.4,632.7,8.2,-21.96,3.44,2.65,0.0287,0.08,0.03,84,0.45,0.43,3314,0.02001,,,11.9,19.8,10.9764,-31.1442,-30.2,8.0167,1,0,0.116,0.304,-1.93,-0.14,-0.13,0.34,0.31,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.35,1.69,1.11,1.88,1.78,4.216123,4.216124,4.216124,365.1,365.1,365.1,406.7,406.7,406.7,6,-19.88,3.21,11.44,0.0717,0,0.07,0,0.38,0.39,3567,0.021675,-0.32,,8.1,3.59,0.3064,44.023,-28.3,2.8715,1,0,0.12,0.311,-1.51,-0.15,0.07,0.4,0.52,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.4,1.69,1.12,1.89,1.79,1.98165,2.27422,2.62301,302.3,312.6,324.2,344,354.3,365.9,6,-19.22,3.21,12.92,0.073,0.07,0.07,235,0.31,0.3,3498,0.01209,-0.135,8,10.6,6.21,15.3239,-7.7222,-27.6,2.1956,3,0,0.09,0.233,-1.24,-0.15,0.22,0.44,0.66,0,0
Hot,Terran,rocky-iron,metals-rich,non-habitable,1.94,1.27,0.95,1.2,1.24,8.852251,16.27629,33.34861,439.4,501.5,612.2,476.1,538.2,648.8,1.8,-20.8,2.41,3.15,0.028,0.32,0.03,236,0.31,0.3,3498,0.01209,-0.135,8,10.6,6.21,15.3239,-7.7222,-29.8,6.0295,3,0,0.09,0.233,-1.87,-0.16,-0.68,0.33,0.37,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.54,1.96,1.26,2.48,2.21,12.81783,18.83514,28.83528,482.1,526.7,590.4,526.7,571.4,635,12.1,-21.87,3.73,4.48,0.043,0.2,0.04,334,0.54,0.45,3700,0.034123,0.08,,9.7,10.34,16.9692,25.7442,-30,5.7202,2,0,0.151,0.387,-1.91,-0.14,0.12,0.34,0.32,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.4,1.69,1.12,1.89,1.79,28.95018,33.93901,40.05334,591,614.2,640.9,632.7,655.9,682.6,6,-22.17,3.21,1.94,0.0208,0.08,0.02,157.4,0.33,0.36,3350,0.014644,0.05,2.5,10.2,4.7,22.8869,-14.2536,-30.6,9.2611,4,2,0.099,0.259,-1.98,-0.15,-0.34,0.33,0.31,0,0
