,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
0,Cold,Jovian,gas,hydrogen-rich,non-habitable,4.08E-06,4.08E-06,4.08E-06,4451.16,19.04,0.64,12.28,15.29,11.4,11.4,11.4,879.9998278829605,883.6011474469306,889.4679288582904,2870.4,-10.06,36.81,721.5746168324818,330.0,0.0,330.0,0.0,0.73,1.35,4060.0,0.44428500000000004,-0.06014540337711069,0.011000000000000001,12.249795918367347,145.0,16.1583,-21.0828,-13.2,0.0022,1.0,0.0,0.54,1.3619999999999999,800.07,23.51,85.62,0.0,0.05,0.0,0.0
1,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.02166914,0.02166914,0.02166914,6358.8,10.94,4.86,53.12,24.11,97.7,97.7,97.7,879.9998278829605,883.6011474469306,889.4679288582904,30873.8,-18.21,20.91,3725.0,3.9,0.0,3.9,0.0,0.9,0.99,4400.0,0.329588,-0.06014540337711069,0.016,12.4,133.0,14.13,-39.7619,-22.5,0.1353,1.0,0.0,0.461,1.143,9.07,15.3,45.41,0.02,0.07,0.0,0.0
2,Cold,Jovian,gas,hydrogen-rich,non-habitable,3.96E-06,3.96E-06,3.96E-06,4133.22,11.4,2.79,31.79,19.04,11.4,11.4,11.4,879.9998278829605,883.6011474469306,889.4679288582904,11520.8,-8.91,21.8,721.5746168324818,84.0,0.0,84.0,0.0,0.4,0.38,3840.0,0.027955,-0.06014540337711069,0.03,12.249795918367347,47.2,1.06,-55.2656,-13.2,0.0024,1.0,0.0,0.136,0.34700000000000003,793.67,12.57,107.44,0.0,0.06,0.0,0.0
3,Cold,Jovian,gas,hydrogen-rich,non-habitable,1.03E-05,1.03E-05,1.03E-05,6358.8,11.2,4.53,50.69,23.83,14.4,14.4,14.4,879.9998278829605,883.6011474469306,889.4679288582904,28780.4,-9.92,21.41,721.5746168324818,52.0,0.0,52.0,0.0,0.4,0.38,3840.0,0.027955,-0.06014540337711069,0.12,12.249795918367347,36.0,1.3808,-24.6142,-14.2,0.0039,1.0,0.0,0.136,0.34700000000000003,490.45,15.72,119.46,0.0,0.08,0.0,0.0
4,Cold,Jovian,gas,hydrogen-rich,non-habitable,2.37E-07,2.37E-07,2.37E-07,4419.37,16.13,1.05,16.99,16.55,5.6,5.6,5.6,879.9998278829605,883.6011474469306,889.4679288582904,4655.6,-6.6,31.03,721.5746168324818,156.0,0.0,156.0,0.0,0.11,0.27,3064.0,0.005765,-0.06014540337711069,4.18801899007337,12.249795918367347,39.4,2.3228,-39.4231,-10.1,0.0009,1.0,0.0,0.062,0.165,3028.82,19.46,133.25,0.0,0.06,0.0,0.0
5,Cold,Jovian,gas,hydrogen-rich,non-habitable,1.26E-07,1.26E-07,1.26E-07,2384.55,11.66,1.5,17.53,14.3,4.8,4.8,4.8,879.9998278829605,883.6011474469306,889.4679288582904,3585.2,-5.21,22.3,721.5746168324818,15.0,0.0,15.0,0.0,0.02,0.01,3840.0,2.8000000000000003e-05,-0.06014540337711069,0.001,12.249795918367347,140.0,4.6958,23.0308,-9.4,0.0004,1.0,0.0,0.004,0.011000000000000001,4453.14,10.21,124.39,0.0,0.07,0.0,0.0
6,Cold,Jovian,gas,hydrogen-rich,non-habitable,9.06E-06,2.29E-05,7.61E-05,9538.2,10.86,7.44,80.81,29.63,14.0,16.8,23.8,879.9998278829605,883.6011474469306,889.4679288582904,70951.8,-10.87,20.76,4640.0,2.897,0.49,2.53,354.4,0.12,0.09,2205.0,0.000168,-0.06014540337711069,4.18801899007337,12.249795918367347,12.21,7.7786,20.0089,-15.2,0.0187,1.0,0.0,0.011000000000000001,0.028999999999999998,325.42,20.19,132.41,0.0,0.08,0.0,0.0
7,Cold,Jovian,gas,hydrogen-rich,non-habitable,2.74E-08,2.74E-08,2.74E-08,1271.76,11.66,0.8,9.36,10.44,3.3,3.3,3.3,879.9998278829605,883.6011474469306,889.4679288582904,1020.6,-3.53,22.3,721.5746168324818,46.0,0.0,46.0,0.0,0.03,0.02,3840.0,5.7999999999999994e-05,-0.06014540337711069,0.008,20.1,52.4,12.1258,-39.5483,-7.7,0.0002,1.0,0.0,0.006,0.016,9575.68,8.56,109.81,0.0,0.08,0.0,0.0
8,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.1531191,0.1531191,0.1531191,604.09,11.21,0.43,4.81,7.34,159.4,159.4,159.4,879.9998278829605,883.6011474469306,889.4679288582904,259.4,-20.4,21.42,416.0,0.92,0.0,0.92,0.0,0.6,1.4982379558158103,5481.50649867374,0.1296,-0.06014540337711069,4.18801899007337,12.249795918367347,614.4452976190478,19.6425,46.0664,-24.7,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,2.51,7.35,9.51,0.08,0.24,0.0,0.0
9,Cold,Jovian,gas,hydrogen-rich,non-habitable,1.27E-05,2.09E-05,3.68E-05,6358.8,10.3,5.81,59.89,24.84,15.2,17.0,19.8,879.9998278829605,883.6011474469306,889.4679288582904,36960.1,-10.54,19.68,7340.0,3.53,0.26,3.41,223.0,0.08,0.1,2300.0,0.000251,-0.06014540337711069,4.18801899007337,12.249795918367347,25.0,21.6747,16.4217,-15.0,0.0156,1.0,0.0,0.013000000000000001,0.035,316.89,14.27,113.5,0.0,0.08,0.0,0.0
10,Cold,Jovian,gas,hydrogen-rich,non-habitable,1.65E-05,1.65E-05,1.65E-05,9538.2,14.56,3.09,44.99,25.59,16.2,16.2,16.2,879.9998278829605,883.6011474469306,889.4679288582904,29474.7,-11.0,27.95,8686.0,4.48,0.0,4.48,0.0,0.13,0.11,2350.0,0.000331,-0.06014540337711069,4.18801899007337,12.249795918367347,26.67,22.1064,-20.785,-14.7,0.0131,1.0,0.0,0.015,0.040999999999999995,347.42,27.82,121.07,0.0,0.06,0.0,0.0
11,Cold,Jovian,gas,hydrogen-rich,non-habitable,7.43E-07,7.43E-07,7.43E-07,3974.25,11.43,2.66,30.4,18.64,7.5,7.5,7.5,879.9998278829605,883.6011474469306,889.4679288582904,10567.3,-7.09,21.86,721.5746168324818,230.0,0.0,230.0,0.0,0.6,0.25,5150.0,0.039326,-0.06014540337711069,0.12,12.5,63.0,22.6069,47.8619,-11.3,0.0006,1.0,0.0,0.154,0.371,2122.87,12.37,130.05,0.0,0.06,0.0,0.0
12,Cold,Jovian,gas,hydrogen-rich,non-habitable,1.56E-09,1.56E-09,1.56E-09,12717.6,9.75,13.73,133.83,36.12,1.6,1.6,1.6,879.9998278829605,883.6011474469306,889.4679288582904,174590.9,-0.02,18.61,721.5746168324818,300.0,0.0,300.0,0.0,0.04,0.03,3840.0,0.00014,-0.06014540337711069,4.18801899007337,12.249795918367347,75.0,14.8447,-78.6939,-4.6,0.0,1.0,0.0,0.01,0.025,40152.3,22.78,550.24,0.0,0.04,0.0,0.0
13,Cold,Jovian,gas,hydrogen-rich,non-habitable,1.56E-09,1.56E-09,1.56E-09,12717.6,9.75,13.73,133.83,36.12,1.6,1.6,1.6,879.9998278829605,883.6011474469306,889.4679288582904,174590.9,-0.02,18.61,721.5746168324818,300.0,0.0,300.0,0.0,0.04,0.03,3840.0,0.00014,-0.06014540337711069,4.18801899007337,12.249795918367347,75.0,14.845,-78.6947,-4.6,0.0,1.0,0.0,0.01,0.025,40152.3,22.78,550.24,0.0,0.04,0.0,0.0
14,Hot,Jovian,gas,metals-rich,non-habitable,             ,             ,             ,9538.2,10.3,8.73,89.9,30.43,754.328616269945,765.3643735286424,787.0141511901649,879.9998278829605,883.6011474469306,889.4679288582904,83247.3,-23.631825334382377,19.67,721.5746168324818,518.0,0.0,518.0,0.0,0.9731187859759288,1.4982379558158103,3840.0,4.748896123665712,-0.06014540337711069,0.15,12.249795918367347,41.5,22.8375,23.4261,-30.396547214229663,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,120.02285377975412,19.03,4.429553382663848,0.21608879492600425,0.2633656110965716,0.0,0.0
15,Hot,Jovian,gas,metals-rich,non-habitable,             ,             ,             ,1176.38,11.64,0.75,8.68,10.05,754.328616269945,765.3643735286424,787.0141511901649,879.9998278829605,883.6011474469306,889.4679288582904,877.3,-23.631825334382377,22.26,32850.0,10.77480166927491,0.0,10.74170057381325,0.0,0.9731187859759288,1.4982379558158103,5481.50649867374,4.748896123665712,-0.06014540337711069,0.01,12.249795918367347,614.4452976190478,11.3257,-11.6296,-30.396547214229663,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,120.02285377975412,8.41,4.429553382663848,0.21608879492600425,0.2633656110965716,0.0,0.0
16,Cold,Jovian,gas,hydrogen-rich,non-habitable,7.82E-09,7.82E-09,7.82E-09,4228.6,11.38,2.87,32.62,19.27,2.4,2.4,2.4,879.9998278829605,883.6011474469306,889.4679288582904,12117.6,-2.12,21.77,721.5746168324818,6900.0,0.0,6900.0,0.0,0.4,1.39,3840.0,0.372521,-0.06014540337711069,0.027000000000000003,9.0,24.75,21.4244,-81.6411,-6.4,0.0001,1.0,0.0,0.49700000000000005,1.2670000000000001,17908.75,12.7,238.96,0.0,0.06,0.0,0.0
17,Hot,Jovian,gas,hydrogen-rich,non-habitable,72.05381,163.7823,457.8407,2257.37,11.67,1.42,16.57,13.91,742.3,877.3,1178.5,879.9998278829605,883.6011474469306,889.4679288582904,3205.8,-28.21,22.32,269.3,0.87,0.43,0.78,23.8,1.23,18.11,4415.0,111.801993,-0.25,4.604,5.8,78.5,8.6703,64.3281,-32.4,12.3239,1.0,0.0,8.48,21.034000000000002,-2.21,10.03,7.06,0.07,0.07,0.0,0.0
18,Hot,Jovian,gas,metals-rich,non-habitable,2.393847,3.106028,4.104261,21874.27,5.393004926108374,1.525530303030303,6.3823641588296764,4.238435214211076,316.9,337.1,362.6,879.9998278829605,883.6011474469306,889.4679288582904,4536.8270898641595,-23.631825334382377,10.306642468239565,899.0,2.2,0.13,2.18,27.0,1.7,5.2,4978.0,14.897592999999999,-0.13,4.18801899007337,5.9,56.9,6.5131,58.1628,-28.0,1.2711,1.0,0.0,3.0260000000000002,7.3229999999999995,-1.38,3.728769592476489,4.429553382663848,0.21608879492600425,0.25,0.0,0.0
19,Warm,Jovian,gas,hydrogen-rich,non-habitable,0.4514996,0.6887656,1.104356,782.13,11.44,0.52,5.98,8.27,208.8,230.0,261.2,879.9998278829605,883.6011474469306,889.4679288582904,408.7,-22.11,21.87,796.0,1.93,0.22,1.88,77.0,1.52,2.3,4792.0,2.502723,0.21,4.18801899007337,4.0,19.75,6.6114,-19.2558,-26.4,0.6509999999999999,1.0,1.0,1.251,3.05,-0.23,7.72,8.73,0.08,0.42,0.0,0.0
20,Hot,Jovian,gas,hydrogen-rich,non-habitable,179.9768,202.5754,228.8484,476.91,10.92,0.37,4.0,6.61,933.1,960.5,990.9,879.9998278829605,883.6011474469306,889.4679288582904,174.8,-28.19,20.86,93.4,0.49,0.06,0.49,91.0,1.8,9.9,4847.4,48.550717,-0.03,1.7,6.8,159.1,14.9467,74.9008,-32.5,10.8025,1.0,0.0,5.496,13.370999999999999,-2.27,7.02,2.39,0.11,0.11,0.0,0.0
21,Hot,Jovian,gas,hydrogen-rich,non-habitable,64.95758,101.1515,166.4222,6168.04,10.98,4.66,51.15,23.7,723.3,799.7,915.1,879.9998278829605,883.6011474469306,889.4679288582904,28729.5,-27.47,20.99,326.03,1.29,0.23,1.26,94.8,2.7,19.0,4742.0,163.77336200000002,-0.35,4.18801899007337,4.7,110.6,12.3453,17.7928,-31.8,8.074,1.0,0.0,10.14,24.781,-2.21,15.07,14.33,0.05,0.06,0.0,0.0
22,Cold,Jovian,gas,hydrogen-rich,non-habitable,2.97E-10,2.97E-10,2.97E-10,6676.74,10.87,5.19,56.47,24.78,1.1,1.1,1.1,879.9998278829605,883.6011474469306,889.4679288582904,34672.8,1.55,20.78,730000.0,243.0,0.0,243.0,0.0,0.02,0.02,2375.0,1.8e-05,-0.06014540337711069,0.011000000000000001,12.249795918367347,145.0,16.3736,-24.0872,-2.8,0.0001,1.0,0.0,0.003,0.009000000000000001,82422.85,15.68,464.12,0.0,0.05,0.0,0.0
23,Hot,Jovian,gas,hydrogen-rich,non-habitable,66.72755,78.07546,91.9485,3338.37,11.54,2.17,25.05,17.0,728.2,756.4,788.9,879.9998278829605,883.6011474469306,889.4679288582904,7242.6,-27.27,22.08,516.22,1.54,0.08,1.54,117.6,1.8,24.08,4340.0,184.570281,0.04,1.56,5.0,119.5,15.285,71.8239,-31.5,8.3671,1.0,0.0,10.921,27.186999999999998,-2.15,11.54,10.21,0.06,0.07,0.0,0.0
24,Hot,Jovian,gas,hydrogen-rich,non-habitable,84.5634,84.56341,84.56342,1694.62,11.68,1.06,12.41,12.04,772.6,772.6,772.6,879.9998278829605,883.6011474469306,889.4679288582904,1800.5,-27.38,22.34,185.84,0.83,0.0,0.83,0.0,2.2,11.0,4813.0,58.25573000000001,-0.24,4.18801899007337,5.2,76.4,23.5214,39.2361,-31.6,7.0672,1.0,0.0,6.029,14.69,-2.2,9.2,6.65,0.08,0.09,0.0,0.0
25,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.02488932,0.05017497,0.1171233,1475.24,11.68,0.93,10.82,11.24,101.2,117.3,149.0,879.9998278829605,883.6011474469306,889.4679288582904,1366.4,-19.35,22.33,1773.4,2.77,0.37,2.57,22.6,0.9,0.71,5311.0,0.357817,0.43,5.1,6.7,18.1,16.1731,43.8217,-23.5,0.1466,1.0,0.0,0.461,1.102,6.36,8.87,17.88,0.05,0.13,0.0,0.0
26,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.1183426,0.4656991,3.489002,534.14,11.06,0.39,4.36,6.95,149.4,187.6,348.2,879.9998278829605,883.6011474469306,889.4679288582904,210.6,-21.94,21.15,799.5,1.68,0.69,1.22,83.4,1.01,0.98,5766.0,0.9524459999999999,0.08,8.0,6.2,21.41,19.6975,50.5175,-26.2,0.4289,1.0,0.0,0.733,1.7269999999999999,1.15,7.17,7.16,0.09,0.39,0.0,0.0
27,Hot,Jovian,gas,hydrogen-rich,non-habitable,5.052827,5.912127,6.962639,3274.78,11.55,2.12,24.53,16.83,382.0,396.8,413.8,879.9998278829605,883.6011474469306,889.4679288582904,6951.2,-24.46,22.1,993.3,2.6,0.08,2.59,166.1,2.3,8.5,4979.0,39.83788,-0.052000000000000005,4.18801899007337,5.5,73.1,20.9739,10.8392,-28.7,1.7479,1.0,0.0,4.949,11.975,-1.67,11.45,14.59,0.05,0.2,0.0,0.0
28,Hot,Jovian,gas,metals-rich,non-habitable,1485.419,1614.173,1757.259,289.33,10.09,0.28,2.84,5.35,1581.6,1614.3,1649.5,879.9998278829605,883.6011474469306,889.4679288582904,81.4,-30.28,19.27,30.35,0.19,0.04,0.19,210.0,0.99,10.64,4893.0,58.220234,-77.0,4.18801899007337,5.6,100.0,14.4775,49.845,-34.8,30.2187,1.0,0.0,6.006,14.585,-2.36,6.34,0.85,0.13,0.12,0.0,0.0
29,Hot,Jovian,gas,hydrogen-rich,non-habitable,6.892935,8.222184,9.88868,632.7,11.25,0.44,5.0,7.5,412.8,430.8,451.8,879.9998278829605,883.6011474469306,889.4679288582904,280.9,-24.76,21.51,452.8,1.3330000000000002,0.09,1.33,9.2,1.54,4.9,5098.0,14.550614999999999,-0.03,2.7,7.4,74.8,10.3911,0.9022,-29.0,1.9669999999999999,2.0,0.0,2.9739999999999998,7.162000000000001,-1.78,7.41,5.25,0.1,0.21,0.0,0.0
30,Hot,Jovian,gas,hydrogen-rich,non-habitable,2.021499,3.514242,6.671723,273.43,9.99,0.27,2.74,5.23,303.8,343.2,409.5,879.9998278829605,883.6011474469306,889.4679288582904,75.1,-23.61,19.06,883.0,2.08,0.29,1.99,220.5,1.54,4.9,5098.0,14.550614999999999,-0.03,2.7,7.4,74.8,10.3911,0.9022,-28.1,1.3118,2.0,0.0,2.9739999999999998,7.162000000000001,-1.42,6.26,3.66,0.12,0.35,0.0,0.0
31,Hot,Jovian,gas,hydrogen-rich,non-habitable,1.458875,2.531428,4.793875,3141.25,11.58,2.03,23.44,16.47,280.0,316.2,377.0,879.9998278829605,883.6011474469306,889.4679288582904,6362.4,-23.58,22.13,335.1,0.995,0.29,0.95,307.0,1.22,1.23,6484.0,2.3992310000000003,0.12,0.91,7.1,39.4,2.6161,24.6481,-27.8,0.6881,1.0,0.0,1.114,2.5860000000000003,-1.15,11.27,15.94,0.05,0.31,0.0,0.0
32,Warm,Jovian,gas,hydrogen-rich,non-habitable,0.9922981,1.053172,1.11882,1433.91,11.68,0.9,10.52,11.08,254.3,258.0,262.0,879.9998278829605,883.6011474469306,889.4679288582904,1291.7,-22.59,22.33,825.9,1.82,0.03,1.82,0.0,1.18,1.45,6557.0,3.486957,0.07,1.9,6.1,614.4452976190478,12.8864,-3.5531,-26.8,0.4248,1.0,1.0,1.337,3.102,-0.45,8.8,11.61,0.06,0.41,0.0,0.0
33,Hot,Jovian,gas,hydrogen-rich,non-habitable,50.25558,103.4399,248.9079,1233.61,11.65,0.78,9.09,10.29,678.3,789.4,1011.9,879.9998278829605,883.6011474469306,889.4679288582904,961.9,-27.68,22.28,479.1,1.19,0.38,1.1,218.7,0.98,22.03,4200.0,135.49270900000002,-0.46,9.49,4.8,97.3,18.4331,65.5636,-31.9,10.6812,1.0,0.0,9.395,23.546,-2.16,8.5,5.18,0.09,0.09,0.0,0.0
34,Warm,Jovian,gas,hydrogen-rich,non-habitable,0.3539971,0.3771968,0.4023415,804.39,11.46,0.53,6.13,8.38,196.5,199.6,202.9,879.9998278829605,883.6011474469306,889.4679288582904,430.0,-21.43,21.91,1078.0,2.1,0.03,2.1,334.0,1.03,1.24,5892.0,1.6625860000000001,0.0,7.4,5.1,13.97,10.9914,40.4294,-25.7,0.3148,3.0,1.0,0.961,2.258,0.76,7.77,9.73,0.07,0.35,0.0,0.0
35,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.1064176,0.1289065,0.1576762,171.69,9.01,0.23,2.11,4.36,145.5,152.4,160.5,879.9998278829605,883.6011474469306,889.4679288582904,40.3,-19.74,17.19,2391.0,3.6,0.1,3.58,295.0,1.03,1.24,5892.0,1.6625860000000001,0.0,7.4,5.1,13.97,10.9914,40.4294,-24.5,0.1844,3.0,1.0,0.961,2.258,3.08,5.63,5.1,0.11,0.27,0.0,0.0
36,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.00918359,0.01251699,0.01751094,521.42,11.03,0.39,4.28,6.87,78.9,84.8,92.7,879.9998278829605,883.6011474469306,889.4679288582904,202.4,-17.65,21.09,14002.0,11.6,0.16,11.45,110.0,1.03,1.24,5892.0,1.6625860000000001,0.0,7.4,5.1,13.97,10.9914,40.4294,-22.0,0.0577,3.0,1.0,0.961,2.258,15.47,7.14,12.64,0.05,0.12,0.0,0.0
37,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.01966726,0.02944644,0.04613009,2893.25,12.43,1.51,18.72,15.26,95.4,104.7,118.1,879.9998278829605,883.6011474469306,889.4679288582904,4356.6,-18.85,23.8,14965.0,14.0,0.21,13.69,90.0,1.75,1.49,7300.0,5.6428,-0.027000000000000003,0.02,5.2,29.4,4.6267,-2.4735,-22.9,0.0581,1.0,0.0,1.6469999999999998,3.7960000000000003,10.57,11.9,26.9,0.03,0.1,0.0,0.0
38,Hot,Jovian,gas,metals-rich,non-habitable,590.7382,598.9285,607.2656,149.43,21.28,0.02,0.33,2.65,1256.0,1260.3,1264.7,879.9998278829605,883.6011474469306,889.4679288582904,2.3,-30.82,41.33,4.23,0.052000000000000005,0.01,0.05,54.1,1.11,1.27,5793.0,1.619464,0.2,4.0,5.5,14.7,22.9575,20.7686,-33.7,13.0026,1.0,0.0,0.9540000000000001,2.247,-2.4,18.21,-0.29,0.05,0.05,1.0,0.0
39,Hot,Jovian,gas,hydrogen-rich,non-habitable,45.02418,45.23154,45.44021,267.07,9.94,0.27,2.7,5.18,659.9,660.7,661.5,879.9998278829605,883.6011474469306,889.4679288582904,72.6,-26.34,18.98,14.65,0.1134,0.0,0.11,110.0,0.91,0.94,5196.0,0.581554,0.31,10.2,6.0,12.34,8.8769,28.3339,-30.9,4.4331,5.0,1.0,0.591,1.419,-2.15,6.23,2.17,0.13,0.15,1.0,0.0
40,Hot,Jovian,gas,metals-rich,non-habitable,8.983615,10.34999,11.98713,56.72,6.56,0.2,1.32,2.94,441.1,456.5,474.0,879.9998278829605,883.6011474469306,889.4679288582904,11.4,-23.83,12.49,44.37,0.2374,0.07,0.24,356.0,0.91,0.94,5196.0,0.581554,0.31,10.2,6.0,12.34,8.8769,28.3339,-29.3,2.1229,5.0,1.0,0.591,1.419,-1.86,4.23,0.93,0.17,0.28,1.0,0.0
41,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.01859472,0.01961515,0.02070712,1227.25,11.65,0.78,9.04,10.26,94.1,95.3,96.6,879.9998278829605,883.6011474469306,889.4679288582904,952.3,-18.24,22.28,4867.0,5.446000000000001,0.03,5.44,254.0,0.91,0.94,5196.0,0.581554,0.31,10.2,6.0,12.34,8.8769,28.3339,-22.4,0.0923,5.0,1.0,0.591,1.419,10.73,8.49,18.59,0.04,0.1,1.0,0.0
42,Hot,Superterran,rocky-water,metals-rich,non-habitable,2308.751,2440.741,2582.373,8.1,1.99,1.03,2.05,2.02,1766.0,1790.4,1816.1,1809.1,1833.5,1859.2,8.3,-27.18,3.78,0.74,0.0154,0.03,0.02,170.0,0.91,0.94,5196.0,0.581554,0.31,10.2,6.0,12.34,8.8769,28.3339,-35.2,33.0178,5.0,1.0,0.591,1.419,-2.39,0.06,-0.81,0.28,0.26,1.0,0.0
43,Warm,Neptunian,gas,hydrogen-rich,non-habitable,0.8338322,0.9756365,1.148995,47.02,6.17,0.2,1.23,2.76,243.5,252.9,263.8,879.9998278829605,883.6011474469306,889.4679288582904,9.4,-21.12,11.75,260.91,0.7733,0.08,0.77,139.0,0.91,0.94,5196.0,0.581554,0.31,10.2,6.0,12.34,8.8769,28.3339,-26.7,0.652,5.0,1.0,0.591,1.419,-0.56,4.03,1.62,0.19,0.6,1.0,0.0
44,Hot,Superterran,rocky-iron,metals-rich,non-habitable,234.718,296.5414,380.1633,5.09,1.66,1.1,1.84,1.75,997.2,1054.4,1125.0,1038.6,1095.7,1166.3,5.6,-24.5,3.16,4.21,0.0502,0.12,0.05,105.0,0.95,0.94,5531.0,0.741925,-0.01,8.96,4.7,8.52,13.3067,-18.3111,-32.9,10.0643,3.0,0.0,0.6559999999999999,1.556,-2.35,-0.15,-0.69,0.29,0.27,1.0,0.0
45,Hot,Neptunian,gas,metals-rich,non-habitable,12.0694,15.83946,21.20532,18.22,4.51,0.2,0.9,2.01,474.9,506.4,546.7,879.9998278829605,883.6011474469306,889.4679288582904,3.6,-23.48,8.57,38.02,0.2175,0.14,0.22,341.0,0.95,0.94,5531.0,0.741925,-0.01,8.96,4.7,8.52,13.3067,-18.3111,-29.8,2.3262,3.0,0.0,0.6559999999999999,1.556,-1.97,3.18,-0.01,0.21,0.3,1.0,0.0
46,Hot,Neptunian,gas,metals-rich,non-habitable,1.797182,3.49562,7.75032,22.89,4.87,0.2,0.97,2.17,295.0,340.0,425.1,879.9998278829605,883.6011474469306,889.4679288582904,4.5,-22.06,9.26,123.01,0.47600000000000003,0.35,0.45,314.0,0.95,0.94,5531.0,0.741925,-0.01,8.96,4.7,8.52,13.3067,-18.3111,-28.2,1.1235,3.0,0.0,0.6559999999999999,1.556,-1.38,3.36,0.5,0.21,0.48,1.0,0.0
47,Hot,Jovian,gas,hydrogen-rich,non-habitable,6.423269,14.5443,40.41541,2098.4,11.68,1.32,15.39,13.4,405.6,479.1,642.4,879.9998278829605,883.6011474469306,889.4679288582904,2764.7,-25.57,22.33,116.67,0.48,0.43,0.43,2.1,0.92,1.97,5432.0,3.025375,-0.11,7.09,5.0,22.0,13.4739,13.7867,-29.8,2.4203,1.0,0.0,1.3319999999999999,3.17,-1.91,9.8,9.74,0.07,0.14,1.0,0.0
48,Hot,Jovian,gas,hydrogen-rich,non-habitable,12.36982,12.36982,12.36982,953.82,11.56,0.62,7.14,9.08,477.8,477.8,477.8,879.9998278829605,883.6011474469306,889.4679288582904,588.8,-25.26,22.11,691.9,2.1,0.0,2.1,0.0,2.49,10.5,4846.0,54.550918,0.0,4.18801899007337,5.4,81.5,2.5358,-1.035,-29.5,2.6648,1.0,0.0,5.8260000000000005,14.175,-1.89,8.04,6.3,0.09,0.17,0.0,0.0
49,Hot,Jovian,gas,hydrogen-rich,non-habitable,16.83748,25.0215,38.83791,1685.08,11.68,1.06,12.34,12.01,516.1,565.2,636.0,879.9998278829605,883.6011474469306,889.4679288582904,1780.3,-26.07,22.34,952.7,2.5,0.21,2.45,175.0,2.4,18.0,4790.0,153.030103,-0.06,4.18801899007337,5.7,97.2,2.6283,-3.3961,-30.3,3.9219,1.0,0.0,9.782,23.855999999999998,-2.03,9.18,7.97,0.08,0.12,0.0,0.0
50,Hot,Jovian,gas,hydrogen-rich,non-habitable,60.10398,63.41486,66.95869,1017.41,11.59,0.65,7.57,9.37,709.4,718.8,728.8,879.9998278829605,883.6011474469306,889.4679288582904,664.8,-27.05,22.16,181.4,0.7,0.03,0.7,177.3,2.5,8.55,4665.0,31.06195,-0.03,3.56,4.2,45.9,23.2647,-9.0875,-31.3,6.5151,1.0,0.0,4.43,10.862,-2.16,8.15,5.03,0.09,0.1,0.0,0.0
51,Cold,Jovian,gas,hydrogen-rich,non-habitable,6.35E-06,6.35E-06,6.35E-06,4292.19,11.37,2.92,33.19,19.43,12.8,12.8,12.8,879.9998278829605,883.6011474469306,889.4679288582904,12525.9,-9.42,21.74,721.5746168324818,275.0,0.0,275.0,0.0,0.9731187859759288,0.98,4875.0,0.48053199999999996,-0.64,0.03,9.2,47.3,6.32,-58.0542,-13.7,0.0019,1.0,0.0,0.546,1.327,701.84,12.78,103.28,0.0,0.06,0.0,0.0
52,Hot,Jovian,gas,hydrogen-rich,non-habitable,191.3177,232.6393,285.7693,2057.07,11.68,1.29,15.08,13.27,947.5,993.1,1047.5,879.9998278829605,883.6011474469306,889.4679288582904,2655.8,-28.49,22.34,628.96,1.46,0.1,1.45,287.0,1.13,45.1,4055.0,493.408199,-0.27,6.6,0.8,20.43,4.5986,16.5092,-32.7,16.602999999999998,1.0,0.0,17.994,45.42,-2.21,9.73,6.4,0.08,0.07,0.0,0.0
53,Hot,Jovian,gas,hydrogen-rich,non-habitable,33.11425,53.42722,91.96552,572.29,11.15,0.41,4.61,7.17,611.2,680.5,789.0,879.9998278829605,883.6011474469306,889.4679288582904,236.5,-26.81,21.3,380.8,1.2,0.25,1.16,89.2,1.5,13.9,4553.0,74.492062,-0.09,4.18801899007337,2.0,20.2,2.1194,23.4622,-31.1,6.3787,1.0,0.0,6.888999999999999,16.979,-2.13,7.27,3.53,0.11,0.12,0.0,0.0
