,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
3668,Cold,Subterran,rocky-iron,metals-rich,non-habitable,0.1308402,0.1308402,0.1308402,0.35,0.75,0.81,0.61,0.68,153.2,153.2,153.2,181.8,181.8,181.8,0.3,-14.34,1.43,20.0,0.063,0.0,0.06,0.0,0.08,0.12,2550.0,0.000519,0.04,0.5,18.8,12.1,23.1081,-5.0414,-24.5,0.9897,7.0,4.0,0.019,0.051,1.75,-0.18,-0.67,0.35,0.45,0.0,0.0
3669,Hot,Jovian,gas,metals-rich,non-habitable,304.0984,304.0984,304.0985,241.95,12.31,0.13,1.6,4.43,1063.9,1063.9,1063.9,879.9998278829605,883.6011474469306,889.4679288582904,31.4,-28.89,23.56,3.03,0.0393,0.0,0.04,0.0,0.88,0.85,5150.0,0.46967700000000007,0.001,2.5,11.8,157.0,19.0692,36.6325,-33.0,11.5457,1.0,0.0,0.5329999999999999,1.281,-2.32,8.57,0.9,0.1,0.08,0.0,0.0
3670,Hot,Jovian,gas,hydrogen-rich,non-habitable,831.4461,831.4461,831.4462,398.38,13.32,0.17,2.25,5.47,1368.1,1368.1,1368.1,879.9998278829605,883.6011474469306,889.4679288582904,67.2,-30.16,25.52,2.47,0.0355,0.0,0.04,0.0,0.98,1.0,5850.0,1.050784,-0.15,5.1,11.4,220.0,19.1206,49.3164,-34.1,15.0337,1.0,0.0,0.7659999999999999,1.801,-2.41,9.28,1.13,0.09,0.07,0.0,0.0
3671,Hot,Jovian,gas,hydrogen-rich,non-habitable,1242.906,1242.906,1242.906,607.27,14.62,0.19,2.84,6.45,1512.7,1512.7,1512.7,879.9998278829605,883.6011474469306,889.4679288582904,118.1,-30.8,28.06,1.31,0.0226,0.0,0.02,0.0,0.92,0.81,5720.0,0.634826,-0.19,4.18801899007337,12.4,614.4452976190478,17.8686,37.5461,-34.5,19.2614,1.0,0.0,0.6,1.416,-2.42,10.55,1.47,0.08,0.06,0.0,0.0
3672,Hot,Jovian,gas,metals-rich,non-habitable,1658.153,1658.154,1658.154,291.55,19.11,0.04,0.8,3.91,1625.7,1625.7,1625.7,879.9998278829605,883.6011474469306,889.4679288582904,12.2,-31.7,36.95,3.55,0.0508,0.0,0.05,0.0,1.39,1.8,6200.0,4.285839,0.14,2.9,11.6,479.0,17.8869,37.2117,-34.8,18.9331,1.0,0.0,1.514,3.533,-2.45,14.94,0.14,0.06,0.05,0.0,0.0
3673,Hot,Jovian,gas,hydrogen-rich,non-habitable,804.1013,804.1014,804.1015,565.3,13.54,0.23,3.08,6.46,1356.7,1356.7,1356.7,879.9998278829605,883.6011474469306,889.4679288582904,128.7,-30.16,25.95,1.48,0.0245,0.0,0.02,0.0,0.89,0.87,5171.0,0.481087,0.2,7.38,13.7,360.0,20.3481,59.4492,-34.0,18.9541,1.0,0.0,0.539,1.294,-2.36,9.51,1.66,0.09,0.07,0.0,0.0
3674,Cold,Jovian,gas,hydrogen-rich,non-habitable,1.38E-06,3.25E-06,9.60E-06,7948.5,10.61,6.65,70.6,27.37,8.7,10.4,14.2,879.9998278829605,883.6011474469306,889.4679288582904,52883.1,-8.66,20.27,721.5746168324818,86.0,0.45,76.8,0.0,0.4,0.33,3840.0,0.021472,-0.06014540337711069,0.1,12.1,25.0,11.5319,-34.6075,-13.1,0.0023,1.0,0.0,0.11900000000000001,0.304,952.81,17.17,156.88,0.0,0.05,0.0,0.0
3675,Hot,Jovian,gas,hydrogen-rich,non-habitable,41.45879,47.57975,54.8769,798.03,11.45,0.53,6.08,8.35,646.5,668.5,693.4,879.9998278829605,883.6011474469306,889.4679288582904,423.9,-26.71,21.9,198.44,0.6879,0.07,0.69,62.0,1.15,6.85,4806.0,22.459811,-0.2,4.18801899007337,10.2,759.0,10.2853,19.5583,-30.9,5.3217,2.0,0.0,3.745,9.127,-2.14,7.76,4.51,0.1,0.11,0.0,0.0
3676,Hot,Jovian,gas,hydrogen-rich,non-habitable,10.54015,11.61179,12.82378,3211.19,11.56,2.08,24.01,16.66,459.0,470.1,482.1,879.9998278829605,883.6011474469306,889.4679288582904,6666.9,-25.19,22.11,569.2,1.3916,0.05,1.39,124.0,1.15,6.85,4806.0,22.459811,-0.2,4.18801899007337,10.2,759.0,10.2853,19.5583,-29.4,2.6266,2.0,0.0,3.745,9.127,-1.87,11.37,13.12,0.05,0.14,0.0,0.0
3677,Hot,Jovian,gas,hydrogen-rich,non-habitable,514.476,552.5237,594.1763,1716.88,11.68,1.08,12.58,12.12,1213.4,1234.9,1257.8,879.9998278829605,883.6011474469306,889.4679288582904,1848.0,-29.43,22.35,26.47,0.21,0.04,0.21,240.0,1.87,6.26,5130.0,24.350504,-0.08,4.18801899007337,9.9,431.0,5.225,58.4261,-33.6,15.9477,1.0,0.0,3.84,9.238999999999999,-2.35,9.23,4.94,0.09,0.08,0.0,0.0
